Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
458	couple nn1		2124
459	words nn2		2117
460	seventy crd		2114
461	bloody aj0		2110
462	gets vvz		2110
463	saw vvd		2108
464	country nn1		2100
465	started vvd		2092
466	about prp-avp		2091
467	difficult aj0		2087
468	exactly av0		2085
469	report nn1		2076
470	most av0		2061
471	a unc		2060
472	help vvi		2057
473	weeks nn2		2051
474	sometimes av0		2048
475	either av0		2043
476	information nn1		2043
477	better av0		2039
478	wants vvz		2033
479	buy vvi		2022
480	keep vvb		2018
481	far av0		2014
482	christmas nn1		2003
483	hour nn1		1993
484	service nn1		1991
485	in vbz		1979
486	over prp-avp		1978
487	mean vvi		1960
488	i zz0		1958
489	hours nn2		1953
490	both dt0		1950
491	before prp		1943
492	o'clock av0		1943
493	[gap:address] unc		1943
494	committee nn1		1930
495	police nn2		1925
496	seems vvz		1920
497	line nn1		1917
498	absolutely av0		1887
499	talk vvi		1887
500	system nn1		1885
501	yourself pnx		1884
502	example nn1		1879
503	fine aj0		1875
504	someone pni		1874
505	one crd-pni		1863
506	general aj0		1857
507	young aj0		1856
508	least av0		1854
509	later av0		1853
510	g zz0		1849
511	mother nn1		1843
512	d zz0		1841
513	reason nn1		1839
514	tonight av0		1837
515	s unc		1836
516	often av0		1835
517	yesterday av0		1833
518	mine pnp		1830
519	bed nn1		1826
520	hear vvi		1823
521	happy aj0		1820
522	situation nn1		1817
523	true aj0		1814
524	view nn1		1813
525	; pun		1809
526	off avp-prp		1800
527	shop nn1		1790
528	somewhere av0		1786
529	where avq-cjs		1782
530	come vvn		1781
531	tea nn1		1781
532	high aj0		1770
533	across prp		1769
534	certain aj0		1767
535	wan vvb		1760
536	war nn1		1760
537	means vvz		1758
538	family nn1		1756
539	well av0-aj0		1745
540	find vvb		1744
541	past prp		1739
542	office nn1		1730
543	round prp-avp		1726
544	knew vvd		1725
545	national aj0		1704
546	du vdb		1699
547	look nn1		1697
548	indeed av0		1695
549	thanks nn2		1683
550	of vhi		1682
551	meeting nn1		1671
552	funny aj0		1669
553	made vvd		1668
554	makes vvz		1667
555	got vvd-vvn		1657
556	move vvi		1657
557	although cjs		1653
558	boy nn1		1653
559	mummy nn1		1650
560	myself pnx		1645
561	town nn1		1642
562	leave vvi		1633
563	company nn1		1632
564	sense nn1		1630
565	million crd		1622
566	order nn1		1622
567	girl nn1		1617
568	dear itj		1613
569	hope vvb		1609
570	while cjs		1608
571	n zz0		1602
572	matter nn1		1599
573	land nn1		1596
574	health nn1		1594
575	york np0		1589
576	eleven crd		1587
577	head nn1		1584
578	particularly av0		1582
579	feel vvi		1581
580	once av0		1579
581	putting vvg		1578
582	using vvg		1578
583	r zz0		1570
584	no vvi		1569
585	during prp		1568
586	questions nn2		1568
587	chairman nn1		1567
588	therefore av0		1567
589	forward av0		1565
590	mrs np0		1554
591	that av0		1553
592	friday np0		1546
593	afternoon nn1		1536
594	bye itj		1536
595	table nn1		1527
596	month nn1		1521
